Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.36408E-4,38.768844377,0.486175785,0.20515873,0.357020548,0
2.37425E-4,39.005975419,0.487247538,0.203835979,0.36130137,0
2.38524E-4,39.267875751,0.488401178,0.202380952,0.366438356,0
2.39529E-4,39.50712444,0.489452333,0.201058201,0.367294521,0
2.40158E-4,39.77087638,0.490107379,0.199603175,0.369006849,0
2.41287E-4,40.011551479,0.491279832,0.198280423,0.370719178,0
2.42457E-4,40.253503568,0.492488586,0.196957672,0.374143836,0
2.43758E-4,40.521030545,0.493826908,0.195502646,0.376712329,0
2.45318E-4,40.765776287,0.495420923,0.194179894,0.378424658,0
2.46378E-4,41.011645357,0.496499392,0.192857143,0.379280822,0
2.47176E-4,41.25849735,0.497306972,0.191534392,0.383561644,0
2.47831E-4,41.505943752,0.49796916,0.19021164,0.38869863,0
2.4879E-4,41.7543766,0.498934849,0.188888889,0.392979452,0
2.4969E-4,42.003726451,0.499837093,0.187566138,0.39640411,0
2.51519E-4,42.254225362,0.501661325,0.186243386,0.399828767,0
2.53083E-4,42.506602942,0.50321172,0.184920635,0.400684932,0
2.54037E-4,42.760219577,0.504151961,0.183597884,0.403253425,0
2.55495E-4,43.014858649,0.505582436,0.182275132,0.408390411,0
2.56741E-4,43.271101463,0.506798455,0.180952381,0.412671233,0
2.57646E-4,43.502697095,0.507677954,0.179761905,0.415239726,0
2.58909E-4,43.761124811,0.508900404,0.178439153,0.417808219,0
2.60868E-4,44.021288686,0.510783745,0.177116402,0.418664384,0
2.62476E-4,44.256660495,0.512319525,0.175925926,0.421232877,0
2.63957E-4,44.520104534,0.513724843,0.174603175,0.42380137,0
2.64724E-4,44.758053257,0.514449792,0.173412698,0.424657534,0
2.65514E-4,45.023320663,0.515194543,0.172089947,0.427226027,0
2.66537E-4,45.26288692,0.516154575,0.170899471,0.430650685,0
2.68354E-4,45.503569785,0.517851114,0.169708995,0.431506849,0
2.69239E-4,45.772418711,0.518672843,0.168386243,0.434931507,0
2.70858E-4,46.015733322,0.520169461,0.167195767,0.436643836,0
2.72161E-4,46.259963268,0.521367163,0.166005291,0.439212329,0
2.73374E-4,46.505418953,0.522477493,0.164814815,0.440068493,0
2.743E-4,46.751861101,0.523320833,0.163624339,0.442636986,0
2.74705E-4,47.026384743,0.523688519,0.162301587,0.445205479,0
2.76053E-4,47.274335049,0.524909615,0.161111111,0.447773973,0
2.77364E-4,47.523299753,0.526091478,0.159920635,0.449486301,0
2.79091E-4,47.773922664,0.527638043,0.158730159,0.453767123,0
2.80114E-4,48.025474244,0.528550283,0.157539683,0.457191781,0
2.81231E-4,48.278076977,0.529542037,0.156349206,0.458047945,0
2.82642E-4,48.503507902,0.530788458,0.155291005,0.461472603,0
2.83581E-4,48.75842454,0.531614404,0.154100529,0.462328767,0
2.84893E-4,49.0143361,0.532763233,0.152910053,0.46489726,0
2.85975E-4,49.271247042,0.533706695,0.151719577,0.470034247,0
2.87056E-4,49.500431326,0.534645886,0.150661376,0.473458904,0
2.88006E-4,49.759174582,0.535468066,0.149470899,0.47859589,0
2.89223E-4,50.018906548,0.53651625,0.148280423,0.482876712,0
2.90089E-4,50.2505579,0.537259871,0.147222222,0.48630137,0
2.91182E-4,50.512112306,0.538194314,0.146031746,0.488013699,0
2.93094E-4,50.775083205,0.539821247,0.14484127,0.489726027,0
2.94041E-4,51.010039152,0.540622046,0.143783069,0.493150685,0
2.95641E-4,51.275252556,0.541969553,0.142592593,0.495719178,0
2.96541E-4,51.512172401,0.542723938,0.141534392,0.497431507,0
2.97946E-4,51.750030321,0.543896448,0.14047619,0.498287671,0
2.99683E-4,52.019412376,0.545338352,0.139285714,0.500856164,0
3.01656E-4,52.25978461,0.546964684,0.138227513,0.503424658,0
3.02977E-4,52.501651357,0.548047994,0.137169312,0.504280822,0
3.04288E-4,52.774975042,0.549117114,0.135978836,0.506849315,0
3.05525E-4,53.018914435,0.55012071,0.134920635,0.511130137,0
3.0643E-4,53.263698658,0.550853048,0.133862434,0.512842466,0
3.077E-4,53.509515511,0.55187602,0.132804233,0.517123288,0
3.09252E-4,53.75633465,0.553119725,0.131746032,0.519691781,0
3.10447E-4,54.004408382,0.554073442,0.130687831,0.523116438,0
3.1142E-4,54.253226162,0.554846066,0.12962963,0.52739726,0
3.12469E-4,54.502949237,0.555676911,0.128571429,0.531678082,0
3.14424E-4,54.754192313,0.557215914,0.127513228,0.53510274,0
3.16558E-4,55.006798082,0.558884093,0.126455026,0.54109589,0
3.17922E-4,55.260661336,0.559943686,0.125396825,0.546232877,0
