Predictor,Long_name,Category,Response,Response_measure,Response_long,Effect_size,Variance,Scale,Reference,Link,Comment
N,Soil_percent_nitrogen,Soil_nutrients,Bacteria,Composition,Soil_microbial_community_ordination_axis,**,0.126,Europe,Griffiths et al. 2016,,
Sand,Percent_sand_content,Soil_texture,Bacteria,Composition,Soil_microbial_community_ordination_axis,ns,0.041,Europe,Griffiths et al. 2016,,
N,Soil_nitrogen_0-20,Soil_nutrients,Nematods,Diversity,Nematode_diversity,***,0.45,regional,Mueller et al. 2016,,Poland
Veg,Ectomycor_sporocarp_biomass,Biotic_interactions,Nematods,Diversity,Nematode_diversity,***,0.55,regional,Mueller et al. 2016,,Poland
pH,Percent_base_saturation_O3,Soil_pH,Nematods,Diversity,Nematode_diversity,**,0.3,regional,Mueller et al. 2016,,Poland
N,Soil_nitrogen_O3,Soil_nutrients,Nematods,Diversity,Nematode_diversity,*,0.25,regional,Mueller et al. 2016,,Poland
Fauna,Number_bacterial_PLFA_types,Biotic_interactions,Earthworms,Diversity,Lumbricidae_diversity,**,-0.4,regional,Mueller et al. 2016,,Poland
N,Soil_nitrogen_0-20,Soil_nutrients,Earthworms,Diversity,Lumbricidae_diversity,*,-0.35,regional,Mueller et al. 2016,,Poland
Fauna,Collembolan_richness,Biotic_interactions,Earthworms,Diversity,Lumbricidae_diversity,*,0.3,regional,Mueller et al. 2016,,Poland
Veg,Fine_root_biomass,Biotic_interactions,Earthworms,Diversity,Lumbricidae_diversity,*,-0.35,regional,Mueller et al. 2016,,Poland
Mg,Soil_magnesium_0-20,Soil_nutrients,Earthworms,Diversity,Lumbricidae_diversity,*,0.7,regional,Mueller et al. 2016,,Poland
NH4,Soil_NH4_mineral,Soil_nutrients,Earthworms,Diversity,Lumbricidae_diversity,*,-0.45,regional,Mueller et al. 2016,,Poland
FBratio,Fungal_to_bacterial_PLFA_ratio,Biotic_interactions,Earthworms,Diversity,Lumbricidae_diversity,*,-0.55,regional,Mueller et al. 2016,,Poland
Ca,Soil_calcium_Oa,Soil_nutrients,Earthworms,Diversity,Lumbricidae_diversity,*,0.45,regional,Mueller et al. 2016,,Poland
P,Soil_phosphorus_0-20,Soil_nutrients,Earthworms,Diversity,Lumbricidae_diversity,*,-0.55,regional,Mueller et al. 2016,,Poland
pH,pH_value,Soil_pH,Mites,Diversity,Oribatida_diversity,**,0.35,regional,Mueller et al. 2016,,Poland
P,Soil_phosphorus,Soil_nutrients,Mites,Diversity,Oribatida_diversity,**,0.4,regional,Mueller et al. 2016,,Poland
Veg,Light_availability,Biotic_interactions,Mites,Diversity,Oribatida_diversity,**,-0.45,regional,Mueller et al. 2016,,Poland
Veg,Fine_root_production,Biotic_interactions,Mites,Diversity,Oribatida_diversity,*,0.3,regional,Mueller et al. 2016,,Poland
CN,Leaf_litter_carbon_nitrogen_ratio,Soil_nutrients,Mites,Diversity,Gamasida,***,-0.6,regional,Mueller et al. 2016,,Poland
NP,Root_nitrogen_phosphorus_ratio,Soil_nutrients,Mites,Diversity,Gamasida,**,0.4,regional,Mueller et al. 2016,,Poland
MibiCN,Microbial_carbon_nitrogen_ratio,Biotic_interactions,Mites,Diversity,Gamasida,**,0.35,regional,Mueller et al. 2016,,Poland
K,Leaf_litter_potassium,Soil_nutrients,Mites,Diversity,Gamasida,*,0.4,regional,Mueller et al. 2016,,Poland
Veg,Root_cellulose,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,**,-0.55,regional,Mueller et al. 2016,,Poland
Veg,Basal_area,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,**,0.4,regional,Mueller et al. 2016,,Poland
Veg,Root_density,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,*,-0.4,regional,Mueller et al. 2016,,Poland
pH,pH_value,Soil_pH,Collembola,Diversity,Collembolan_diversity,*,-0.5,regional,Mueller et al. 2016,,Poland
Veg,Root_hemicellulose,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,*,-0.6,regional,Mueller et al. 2016,,Poland
Fauna,Number_bacterial_PLFA_types,Biotic_interactions,Collembola,Diversity,Collembolan_diversity,*,0.3,regional,Mueller et al. 2016,,Poland
