Group_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesID,Fct_group,Comment
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus lucens,Lumb_luce,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus meliboeus,Lumb_meli,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus polyphemus,Lumb_poly,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus rubellus,Lumb_rube,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus terrestris,Lumb_terr,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,Murchieona minuscula,Murc_minu,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,Murchieona muldali,Murc_muld,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus argoviensis,Octo_argo,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus bretscher,Octo_bret,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus complanatus,Octo_comp,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus complanatus,Octo_comp,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus exacystis,Allo_exac,,Synonym Allolobophora exacystis
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus lissaensis,Octo_liss,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus mima,Allo_mima,,Synonym Allolobophora mima
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,Octodrilus transpadanus,Octo_trans,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum,Octo_cyan,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion lacteum,Octo_lact,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion Örley,Octo_orle,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion tyrtaeum,Octo_tyrt,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Perelia,Perelia gestroi,Pere_gest,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Perelia,Perelia tuberosa,Pere_tube,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Proctodrilus,Proctodrilus antipae,Proc_anti,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Proctodrilus,Proctodrilus tuberculatus,Eoph_tube,,Synonym Eophila tuberculatus
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Proctodrilus,Proctodrilus Zics,Proc_orle,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Prosellodrilus,Prosellodrilus albus,Pros_albu,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,Satchellius madeirensis,Satc_made,,Synonyms Allolobophora madeirensis and Dendrobaena madeirensis and Satchellius gatesi
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,Satchellius mammalis,Satc_mamm,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Scherotheca,Scherotheca aquitania,Sche_aqui,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Scherotheca,Scherotheca hexatheca,Allo_hexa,,Synonym Allolobophora hexatheca
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Scherotheca,Scherotheca portcrosana,Sche_port,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,Amynthas agrestis,Amyn_agre,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,Amynthas corticis,Amyn_cort,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Metaphire,Metaphire kiengiangensis,Meta_kien,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Perichaeta,Perichaeta morrisi,Amyn_morr,,Synonym Amynthas morrisi
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Polypheretima,Polypheretima cordata,Poly_cord,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Octochaetidae,Agastrodrilus,Agastrodrilus multivesiculatus,Agas_mult,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,Sparganophilus tamesis,Spar_tame,,many Synonyms
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora hexatheca,Allo_hexa,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora mima,Allo_mima,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora exacystis,Allo_exac,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora opisthosellata,Allo_ophi,,
Earthworms,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodae,Aporrectodae opisthosellata,Allo_ophi,,Synonym Allolobophora ophishosellata
