taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9742956	Bythonomus mirus Čekanovskaya, 1956	9742956	Bythonomus mirus Čekanovskaya, 1956	6	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Bythonomus mirus	9742956	
10850197	BOLD:AEE2886	10850197	BOLD:AEE2886	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011			
9098943	Phagodrilus laqueus McKey-Fender, 2001	9098943	Phagodrilus laqueus McKey-Fender, 2001	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Phagodrilus	4812143	Phagodrilus laqueus	9098943	
4411052	Rhynchelmis komareki Hrabĕ, 1927	4411052	Rhynchelmis komareki Hrabĕ, 1927	7	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis komareki	4411052	
9217390	Stylodrilus gracilis Semernoy, 2004	9217390	Stylodrilus gracilis Semernoy, 2004	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus gracilis	9217390	
2307988	Trichodrilus allegheniensis Cook, 1971	9242144	Eremidrilus allegheniensis (Cook, 1971)	5	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eremidrilus	4812145	Eremidrilus allegheniensis	9242144	
4812150	Teleuscolex Michaelsen, 1901	4812150	Teleuscolex Michaelsen, 1901	5	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Teleuscolex	4812150			
9235899	Styloscolex levanidovi Sokolskaya, 1977	9235899	Styloscolex levanidovi Sokolskaya, 1977	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967	Styloscolex levanidovi	9235899	
9985559	BOLD:AAI0913	9985559	BOLD:AAI0913	2	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis brachycephala	8251822	
2308000	Eclipidrilus Eisen, 1881	2308000	Eclipidrilus Eisen, 1881	9	GENUS	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000			
10532043	BOLD:ACQ5066	10532043	BOLD:ACQ5066	2	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis alyonae	9131367	
4411002	Trichodrilus seirei Timm, 1979	4411002	Trichodrilus seirei Timm, 1979	26	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus seirei	4411002	
4411015	Stylodrilus longiatriatus Dembitsky, 1976	4411015	Stylodrilus longiatriatus Dembitsky, 1976	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus longiatriatus	4411015	
9422587	Styloscolex distinctus Morev, 1984	9422587	Styloscolex distinctus Morev, 1984	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967	Styloscolex distinctus	9422587	
10116068	BOLD:ACQ6863	10116068	BOLD:ACQ6863	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis gustafsoni	8768375	
10830688	BOLD:AED3630	10830688	BOLD:AED3630	2	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lumbriculus	2308018			
9702395	Eclipidrilus levanidovi Sokolskaya, 1977	9702395	Eclipidrilus levanidovi Sokolskaya, 1977	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000	Eclipidrilus levanidovi	9702395	
9290173	Stylodrilus cerepanovi Semernoy, 1982	8910019	Stylodrilus mirandus (Hrabĕ, 1982)	14	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus mirandus	8910019	
9617794	Styloscolex japonicus Yamaguchi, 1937	9617794	Styloscolex japonicus Yamaguchi, 1937	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967	Styloscolex japonicus	9617794	
9204363	Yamaguchia toyensis Fend & Ohtaka, 2004	9204363	Yamaguchia toyensis Fend & Ohtaka, 2004	6	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Yamaguchia	4812147	Yamaguchia toyensis	9204363	
2307999	Dorydrilus wiardi Michaelsen, 1933	2307998	Guestphalinus wiardi (Michaelsen, 1933)	4	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Guestphalinus	2307997	Guestphalinus wiardi	2307998	
9479814	Stylodrilus chukotensis Sokolskaya, 1975	9479814	Stylodrilus chukotensis Sokolskaya, 1975	9	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus chukotensis	9479814	
10725369	Eremidrilus artzaini Fend & Rodriguez, 2020	10725369	Eremidrilus artzaini Fend & Rodriguez, 2020	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eremidrilus	4812145	Eremidrilus artzaini	10725369	
4410970	Tatriella longiatriata Popčenko, 1976	4410970	Tatriella longiatriata Popčenko, 1976	16	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Tatriella	2308016	Tatriella longiatriata	4410970	
9053701	Lamprodrilus pygmaeus intermedia Hrabě, 1931	9053701	Lamprodrilus pygmaeus intermedia Hrabě, 1931	5	SUBSPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus pygmaeus	8903571	
9711406	Stylodrilus hallissyi Southern, 1909	2308015	Stylodrilus heringianus Claparède, 1862	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus heringianus	2308015	
8157286	Pilaridrilus uliginosus Fend & Lenat, 2007	8157286	Pilaridrilus uliginosus Fend & Lenat, 2007	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Pilaridrilus	4577631	Pilaridrilus uliginosus	8157286	
