ID,MTB,SMTB,TKBUNDESLA,X,Y
816,2333,Lützow,Mecklenburg-Vorpommern,11.24856918,53.64844651
817,2334,Schwerin,Mecklenburg-Vorpommern,11.41520941,53.64844764
818,2335,Langen Brütz,Mecklenburg-Vorpommern,11.58184964,53.6484488
819,2336,Demen,Mecklenburg-Vorpommern,11.74848989,53.64845
820,2337,Dabel,Mecklenburg-Vorpommern,11.91513014,53.64845124
821,2338,Dobbertin,Mecklenburg-Vorpommern,12.08177039,53.64845252
822,2339,Krakow am See,Mecklenburg-Vorpommern,12.24841066,53.64845384
823,2340,Hohen Wangelin,Mecklenburg-Vorpommern,12.41505094,53.6484552
824,2341,Dahmen,Mecklenburg-Vorpommern,12.58169123,53.64845661
825,2342,Schwinkendorf,Mecklenburg-Vorpommern,12.74833152,53.64845806
826,2343,Stavenhagen,Mecklenburg-Vorpommern,12.91497183,53.64845956
827,2344,Rosenow,Mecklenburg-Vorpommern,13.08161215,53.6484611
828,2345,Altentreptow,Mecklenburg-Vorpommern,13.24825248,53.6484627
829,2346,Brunn,Mecklenburg-Vorpommern,13.41489283,53.64846435
830,2347,Friedland,Mecklenburg-Vorpommern,13.58153319,53.64846605
831,2348,Heinrichswalde,Mecklenburg-Vorpommern,13.74817357,53.64846781
832,2349,Ferdinandshof,Mecklenburg-Vorpommern,13.91481397,53.64846963
833,2350,Torgelow,Mecklenburg-Vorpommern,14.08145439,53.64847151
834,2351,Rieth,Mecklenburg-Vorpommern,14.24809483,53.64847346
845,2406,Insel Borkum (Süd),Niedersachsen,6.749284861,53.54844169
847,2408,Greetsiel,Niedersachsen,7.082565259,53.54844197
848,2409,Norden,Niedersachsen,7.249205458,53.54844217
849,2410,Westerholt,Niedersachsen,7.415845659,53.5484424
850,2411,Blomberg,Niedersachsen,7.58248586,53.54844267
851,2412,Wittmund,Niedersachsen,7.749126063,53.54844298
852,2413,Jever,Niedersachsen,7.915766268,53.54844332
853,2414,Wilhelmshaven,Niedersachsen,8.082406474,53.54844371
854,2415,Butjadingen West,Niedersachsen,8.249046682,53.54844412
855,2416,Butjadingen Ost,Niedersachsen,8.415686893,53.54844458
856,2417,Bremerhaven,Bremen,8.582327106,53.54844507
857,2418,Kührstedt,Niedersachsen,8.748967322,53.5484456
858,2419,Köhlen,Niedersachsen,8.915607541,53.54844617
859,2420,Ebersdorf,Niedersachsen,9.082247763,53.54844677
860,2421,Oldendorf,Niedersachsen,9.248887989,53.54844741
861,2422,Stade Süd,Niedersachsen,9.415528218,53.54844809
862,2423,Horneburg,Niedersachsen,9.582168451,53.5484488
863,2424,Wedel,Hamburg,9.748808688,53.54844955
864,2425,Hamburg,Hamburg,9.915448929,53.54845034
865,2426,Wandsbek,Hamburg,10.08208918,53.54845116
866,2427,Glinde,Hamburg,10.24872943,53.54845202
867,2428,Schwarzenbek,Schleswig-Holstein,10.41536968,53.54845292
868,2429,Siebeneichen,Schleswig-Holstein,10.58200994,53.54845386
869,2430,Gudow,Schleswig-Holstein,10.74865021,53.54845483
870,2431,Zarrentin,Schleswig-Holstein,10.91529048,53.54845584
871,2432,Wittenburg,Mecklenburg-Vorpommern,11.08193076,53.54845688
872,2433,Dümmer,Mecklenburg-Vorpommern,11.24857104,53.54845797
873,2434,Schwerin-Wustmark,Mecklenburg-Vorpommern,11.41521134,53.54845909
874,2435,Crivitz,Mecklenburg-Vorpommern,11.58185163,53.54846025
875,2436,Frauenmark,Mecklenburg-Vorpommern,11.74849194,53.54846145
876,2437,Mestlin,Mecklenburg-Vorpommern,11.91513225,53.54846269
877,2438,Goldberg,Mecklenburg-Vorpommern,12.08177257,53.54846397
878,2439,Karow,Mecklenburg-Vorpommern,12.2484129,53.54846529
879,2440,Nossentiner Hütte,Mecklenburg-Vorpommern,12.41505324,53.54846665
