Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Bimastos rubidus,Dendr_rubi,NA,NA,NA,Bimastos rubidus,Dendrodrilus rubidus tenuis,Epigeic,Dendrodrilus rubidus tenuis,Dendrodrilus,93,7,0,Epigeic,Epigeic
Earthworms,Bimastus parvus,Bimas_parv,NA,NA,NA,Bimastus parvus,NA,NA,Bimastus parvus,Bimastus,NA,NA,NA,NA,NA
Earthworms,Cataladrilus edwardsi,Catal_edwa,NA,NA,NA,Cataladrilus edwardsi,NA,NA,Cataladrilus edwardsi,Cataladrilus,NA,NA,NA,NA,NA
Earthworms,Cataladrilus monticola,Catal_mont,NA,NA,NA,Cataladrilus monticola,NA,NA,Cataladrilus monticola,Cataladrilus,NA,NA,NA,NA,NA
Earthworms,Cataladrilus porquerollensis,Catal_porq,NA,NA,NA,Cataladrilus porquerollensis,NA,NA,Cataladrilus porquerollensis,Cataladrilus,NA,NA,NA,NA,NA
Earthworms,Cernosvitovia bertae,Cerno_bert,NA,NA,NA,Cernosvitovia bertae,NA,NA,Cernosvitovia bertae,Cernosvitovia,NA,NA,NA,NA,NA
Earthworms,Cernosvitovia dudichi,Cerno_dudi,NA,NA,NA,Cernosvitovia dudichi,NA,NA,Cernosvitovia dudichi,Cernosvitovia,NA,NA,NA,NA,NA
Earthworms,Criodrilus lacuum,Criod_lacu,NA,NA,Anecic,Criodrilus lacuum,Criodrilus lacuum,Anecic,Criodrilus lacuum,Criodrilus,NA,NA,NA,NA,Anecic
Earthworms,Dendrobaena alpina,Dendr_alpi,NA,NA,NA,Dendrobaena alpina,Dendrobaena alpina,Epigeic,Dendrobaena alpina,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena attemsi,Dendr_atte,NA,NA,Epigeic,Dendrobaena attemsi,Dendrobaena attemsi,Epigeic,Dendrobaena attemsi,Dendrobaena,83,0,17,Epigeic,Epigeic
Earthworms,Dendrobaena auriculata,Dendr_auri,NA,NA,NA,Dendrobaena auriculata,Dendrobaena auriculata,Epigeic,Dendrobaena auriculata,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena byblica,Dendr_bybl,NA,NA,Epigeic,Dendrobaena byblica,Dendrobaena byblica,Epigeic,Dendrobaena byblica,Dendrobaena,100,0,0,Epigeic,Epigeic
Earthworms,Dendrobaena clujensis,Dendr_cluj,NA,NA,NA,Dendrobaena clujensis,Dendrobaena clujensis,Anecic,Dendrobaena clujensis,Dendrobaena,NA,NA,NA,NA,Anecic
Earthworms,Dendrobaena cognettii,Dendr_pygm,NA,NA,NA,Dendrobaena cognettii,Dendrobaena pygmaea,Epigeic,Dendrobaena pygmaea,Dendrobaena,NA,NA,NA,NA,Epigeic
