FID,species,latitude,longitude,datasource,OBJECTID
4071,Octolasion lacteum,51.079709999999999,10.488750000000000,sWorm,4072
4072,Octolasion lacteum,51.070340000000002,10.457599999999999,sWorm,4073
4085,NA,51.094029999999997,10.509080000000001,sWorm,4086
4087,NA,51.105670000000003,10.410750000000000,sWorm,4088
4088,NA,51.061599999999999,10.412240000000001,sWorm,4089
4089,NA,51.102069999999998,10.410860000000000,sWorm,4090
4090,NA,51.060560000000002,10.411700000000000,sWorm,4091
4091,NA,51.070290000000000,10.454780000000000,sWorm,4092
4092,NA,51.079709999999999,10.488750000000000,sWorm,4093
4093,NA,51.068190000000001,10.429169999999999,sWorm,4094
10525,NA,49.142813750000002,8.737846858999999,sWorm,10526
10526,NA,49.147844950000000,8.728225418999999,sWorm,10527
10527,NA,49.135627780000000,8.745216155000000,sWorm,10528
10528,NA,49.145181850000000,8.751554455000001,sWorm,10529
10529,NA,49.145181850000000,8.751554455000001,sWorm,10530
10530,NA,49.147500860000001,8.751145386999999,sWorm,10531
10531,NA,49.147500860000001,8.751145386999999,sWorm,10532
10532,NA,49.151956179999999,8.749012063000000,sWorm,10533
10533,NA,49.151843669999998,8.742816528000001,sWorm,10534
10534,NA,49.140888439999998,8.733443926000000,sWorm,10535
10535,NA,49.138043300000000,8.731828325000000,sWorm,10536
10536,NA,49.142668880000002,8.741397387999999,sWorm,10537
10537,NA,49.135627780000000,8.745216155000000,sWorm,10538
10538,NA,49.142813750000002,8.737846858999999,sWorm,10539
10539,NA,49.143666750000001,8.733374236000000,sWorm,10540
10540,NA,49.147500860000001,8.751145386999999,sWorm,10541
10541,NA,49.138043300000000,8.731828325000000,sWorm,10542
10542,NA,49.138043300000000,8.731828325000000,sWorm,10543
10543,NA,49.137043319999997,8.742879219000001,sWorm,10544
10544,NA,49.136783070000000,8.743113531000001,sWorm,10545
10545,NA,49.142668880000002,8.741397387999999,sWorm,10546
10546,NA,49.135627780000000,8.745216155000000,sWorm,10547
10547,NA,49.145181850000000,8.751554455000001,sWorm,10548
