"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"V","ssp370",5743.95350870189,0.1463,28719.77,"Aporr_cali"
"VI","ssp370",40.4078858116573,0.001,202.04,"Aporr_cali"
"Ia","ssp585",3.4806836443513,1e-04,17.4,"Aporr_cali"
"Ib","ssp585",3.85609064579853,1e-04,19.28,"Aporr_cali"
"II","ssp585",101.103226047208,0.0029,505.52,"Aporr_cali"
"III","ssp585",6.94655570388543,2e-04,34.73,"Aporr_cali"
"IV","ssp585",798.283376035623,0.0226,3991.42,"Aporr_cali"
"Not.Applicable","ssp585",34.8726554876866,0.001,174.36,"Aporr_cali"
"Not.Assigned","ssp585",574.225744644239,0.0163,2871.13,"Aporr_cali"
"Not.Reported","ssp585",4456.79058322413,0.1263,22283.95,"Aporr_cali"
"Outside.PA","ssp585",24300.4457906268,0.6889,121502.23,"Aporr_cali"
"Presence","ssp585",35274,1,176370,"Aporr_cali"
"Protected","ssp585",5907.66522601715,0.1675,29538.33,"Aporr_cali"
"Unprotected","ssp585",29366.3347739828,0.8325,146831.67,"Aporr_cali"
"V","ssp585",4951.74762887198,0.1404,24758.74,"Aporr_cali"
"VI","ssp585",42.2476650683038,0.0012,211.24,"Aporr_cali"
"Ia","ssp126",24.7101458652282,4e-04,123.55,"Aporr_long"
"Ib","ssp126",12.4007465744755,2e-04,62,"Aporr_long"
"II","ssp126",259.713790171215,0.0039,1298.57,"Aporr_long"
"III","ssp126",21.048407750325,3e-04,105.24,"Aporr_long"
"IV","ssp126",2022.45576322636,0.0304,10112.28,"Aporr_long"
"Not.Applicable","ssp126",68.5254468192961,0.001,342.63,"Aporr_long"
"Not.Assigned","ssp126",1090.09610903218,0.0164,5450.48,"Aporr_long"
"Not.Reported","ssp126",8311.50796657036,0.125,41557.54,"Aporr_long"
"Outside.PA","ssp126",44988.0767267271,0.6767,224940.38,"Aporr_long"
"Presence","ssp126",66485,1,332425,"Aporr_long"
"Protected","ssp126",12026.7937508511,0.1809,60133.97,"Aporr_long"
"Unprotected","ssp126",54458.2062491489,0.8191,272291.03,"Aporr_long"
"V","ssp126",9591.23977766698,0.1443,47956.2,"Aporr_long"
"VI","ssp126",95.2251195965146,0.0014,476.13,"Aporr_long"
"Ia","ssp370",25.4415167265884,4e-04,127.21,"Aporr_long"
"Ib","ssp370",12.8739373987626,2e-04,64.37,"Aporr_long"
"II","ssp370",259.234662088496,0.0039,1296.17,"Aporr_long"
"III","ssp370",21.498645814033,3e-04,107.49,"Aporr_long"
"IV","ssp370",1936.33295711927,0.0291,9681.66,"Aporr_long"
"Not.Applicable","ssp370",74.9702238162663,0.0011,374.85,"Aporr_long"
"Not.Assigned","ssp370",1076.56758337939,0.0162,5382.84,"Aporr_long"
"Not.Reported","ssp370",8232.83516936367,0.1239,41164.18,"Aporr_long"
"Outside.PA","ssp370",45301.8644016393,0.6816,226509.32,"Aporr_long"
"Presence","ssp370",66463,1,332315,"Aporr_long"
"Protected","ssp370",11776.7626218014,0.1772,58883.81,"Aporr_long"
"Unprotected","ssp370",54686.2373781986,0.8228,273431.19,"Aporr_long"
"V","ssp370",9416.48134526365,0.1417,47082.41,"Aporr_long"
"VI","ssp370",104.899557390616,0.0016,524.5,"Aporr_long"
"Ia","ssp585",26.8663920644226,4e-04,134.33,"Aporr_long"
"Ib","ssp585",14.3695909835367,2e-04,71.85,"Aporr_long"
"II","ssp585",255.597663529031,0.004,1277.99,"Aporr_long"
"III","ssp585",22.0536018541459,3e-04,110.27,"Aporr_long"
"IV","ssp585",1817.16871247721,0.0283,9085.84,"Aporr_long"
"Not.Applicable","ssp585",73.7869482678452,0.0011,368.93,"Aporr_long"
"Not.Assigned","ssp585",1056.5878096072,0.0164,5282.94,"Aporr_long"
"Not.Reported","ssp585",7940.1086206023,0.1236,39700.54,"Aporr_long"
"Outside.PA","ssp585",43977.7760873025,0.6846,219888.88,"Aporr_long"
"Presence","ssp585",64238,1,321190,"Aporr_long"
"Protected","ssp585",11189.7405342201,0.1742,55948.7,"Aporr_long"
"Unprotected","ssp585",53048.2594657799,0.8258,265241.3,"Aporr_long"
"V","ssp585",8934.34500596925,0.1391,44671.73,"Aporr_long"
"VI","ssp585",119.339567342528,0.0019,596.7,"Aporr_long"
"Ia","ssp126",12.3681451837784,2e-04,61.84,"Aporr_rose"
"Ib","ssp126",6.7613791773922,1e-04,33.81,"Aporr_rose"
"II","ssp126",328.421179183418,0.0049,1642.11,"Aporr_rose"
"III","ssp126",29.8892078268291,4e-04,149.45,"Aporr_rose"
"IV","ssp126",1499.39142866135,0.0225,7496.96,"Aporr_rose"
"Not.Applicable","ssp126",107.364532063315,0.0016,536.82,"Aporr_rose"
"Not.Assigned","ssp126",789.899999369351,0.0118,3949.5,"Aporr_rose"
"Not.Reported","ssp126",8956.48667070801,0.1341,44782.43,"Aporr_rose"
"Outside.PA","ssp126",45067.7542329393,0.6749,225338.77,"Aporr_rose"
"Presence","ssp126",66777,1,333885,"Aporr_rose"
"Protected","ssp126",11855.49456492,0.1775,59277.47,"Aporr_rose"
"Unprotected","ssp126",54921.50543508,0.8225,274607.53,"Aporr_rose"
"V","ssp126",9873.30827187416,0.1479,49366.54,"Aporr_rose"
