"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"V","ssp585",6850.43769791722,0.141,34252.19,"Allol_eise_ssp585_mean"
"VI","ssp585",99.0115916495852,0.002,495.06,"Allol_eise_ssp585_mean"
"Ia","ssp126",5.32036974988057,1e-04,26.6,"Aporr_cali_ssp126_mean"
"Ib","ssp126",5.90622003353315,1e-04,29.53,"Aporr_cali_ssp126_mean"
"II","ssp126",197.677429966918,0.0034,988.39,"Aporr_cali_ssp126_mean"
"III","ssp126",12.8654924999451,2e-04,64.33,"Aporr_cali_ssp126_mean"
"IV","ssp126",1368.60749431406,0.0233,6843.04,"Aporr_cali_ssp126_mean"
"Not.Applicable","ssp126",74.6638480438942,0.0013,373.32,"Aporr_cali_ssp126_mean"
"Not.Assigned","ssp126",845.821304646722,0.0144,4229.11,"Aporr_cali_ssp126_mean"
"Not.Reported","ssp126",6943.20102344779,0.1184,34716.01,"Aporr_cali_ssp126_mean"
"Outside.PA","ssp126",40144.5353348161,0.6846,200722.68,"Aporr_cali_ssp126_mean"
"Presence","ssp126",58640,1,293200,"Aporr_cali_ssp126_mean"
"Protected","ssp126",10631.7784890455,0.1813,53158.89,"Aporr_cali_ssp126_mean"
"Unprotected","ssp126",48008.2215109545,0.8187,240041.11,"Aporr_cali_ssp126_mean"
"V","ssp126",8979.7707436282,0.1531,44898.85,"Aporr_cali_ssp126_mean"
"VI","ssp126",61.6307388529694,0.0011,308.15,"Aporr_cali_ssp126_mean"
"Ia","ssp370",6.18501440268426,1e-04,30.93,"Aporr_cali_ssp370_mean"
"Ib","ssp370",6.61555260000864,1e-04,33.08,"Aporr_cali_ssp370_mean"
"II","ssp370",214.883309728262,0.0035,1074.42,"Aporr_cali_ssp370_mean"
"III","ssp370",14.8418136063153,2e-04,74.21,"Aporr_cali_ssp370_mean"
"IV","ssp370",1462.80435641293,0.024,7314.02,"Aporr_cali_ssp370_mean"
"Not.Applicable","ssp370",101.330832113055,0.0017,506.65,"Aporr_cali_ssp370_mean"
"Not.Assigned","ssp370",1044.31213099429,0.0171,5221.56,"Aporr_cali_ssp370_mean"
"Not.Reported","ssp370",7783.77583503991,0.1275,38918.88,"Aporr_cali_ssp370_mean"
"Outside.PA","ssp370",40992.3641228229,0.6716,204961.82,"Aporr_cali_ssp370_mean"
"Presence","ssp370",61039,1,305195,"Aporr_cali_ssp370_mean"
"Protected","ssp370",11117.2170790299,0.1821,55586.09,"Aporr_cali_ssp370_mean"
