Predictor,maxent,Species
MAP,7.582,Eisen_feti
MAP_Seas,0.545,Eisen_feti
MAT,17.005,Eisen_feti
Moisture,3.259,Eisen_feti
N,0.047,Eisen_feti
NDVI,1.409,Eisen_feti
P,1.549,Eisen_feti
Pastures,0.999,Eisen_feti
Pop_Dens,5.125,Eisen_feti
SOC,3.149,Eisen_feti
Shrubland,1.706,Eisen_feti
Slope,2.447,Eisen_feti
pH,8.943,Eisen_feti
Agriculture,0,Eisen_luce
Aspect,0.289,Eisen_luce
CEC,1.332,Eisen_luce
Clay.Silt,8.615,Eisen_luce
Cu,0.262,Eisen_luce
Dist_Coast,0,Eisen_luce
Dist_River,0.019,Eisen_luce
Dist_Urban,12.773,Eisen_luce
Elev,0.376,Eisen_luce
Forest_Coni,0,Eisen_luce
Forest_Deci,0,Eisen_luce
Hg,0,Eisen_luce
MAP,0.196,Eisen_luce
MAP_Seas,59.583,Eisen_luce
MAT,0,Eisen_luce
Moisture,0,Eisen_luce
N,8.294,Eisen_luce
NDVI,0,Eisen_luce
P,0.488,Eisen_luce
Pastures,0.27,Eisen_luce
Pop_Dens,0.123,Eisen_luce
SOC,0.33,Eisen_luce
Shrubland,0.104,Eisen_luce
Slope,5.545,Eisen_luce
pH,1.403,Eisen_luce
Agriculture,1.334,Eisen_tetr
Aspect,0.167,Eisen_tetr
CEC,2.519,Eisen_tetr
Clay.Silt,4.994,Eisen_tetr
Cu,2.357,Eisen_tetr
Dist_Coast,8.642,Eisen_tetr
Dist_River,0.053,Eisen_tetr
Dist_Urban,0,Eisen_tetr
Elev,22.132,Eisen_tetr
Forest_Coni,0.813,Eisen_tetr
Forest_Deci,0.366,Eisen_tetr
Hg,9.898,Eisen_tetr
MAP,2.731,Eisen_tetr
MAP_Seas,14.29,Eisen_tetr
MAT,12.053,Eisen_tetr
Moisture,0.063,Eisen_tetr
N,0.065,Eisen_tetr
NDVI,0.264,Eisen_tetr
P,4.218,Eisen_tetr
Pastures,1.95,Eisen_tetr
Pop_Dens,4.627,Eisen_tetr
SOC,0.161,Eisen_tetr
Shrubland,0.233,Eisen_tetr
Slope,5.588,Eisen_tetr
pH,0.482,Eisen_tetr
Agriculture,17.898,Fitzi_plat
Aspect,0.236,Fitzi_plat
CEC,0.371,Fitzi_plat
Clay.Silt,1.158,Fitzi_plat
Cu,0,Fitzi_plat
Dist_Coast,25.194,Fitzi_plat
Dist_River,9.207,Fitzi_plat
Dist_Urban,0.022,Fitzi_plat
Elev,0.798,Fitzi_plat
Forest_Coni,0.056,Fitzi_plat
Forest_Deci,0.348,Fitzi_plat
Hg,0.371,Fitzi_plat
MAP,5.239,Fitzi_plat
MAP_Seas,0.382,Fitzi_plat
MAT,0,Fitzi_plat
Moisture,0.326,Fitzi_plat
N,1.473,Fitzi_plat
NDVI,1.214,Fitzi_plat
P,0,Fitzi_plat
Pastures,3.103,Fitzi_plat
Pop_Dens,20.337,Fitzi_plat
SOC,0,Fitzi_plat
Shrubland,8.297,Fitzi_plat
Slope,0,Fitzi_plat
pH,3.969,Fitzi_plat
Agriculture,11.584,Lumbr_cast
Aspect,0.19,Lumbr_cast
CEC,2.64,Lumbr_cast
Clay.Silt,5.373,Lumbr_cast
Cu,3.004,Lumbr_cast
Dist_Coast,1.632,Lumbr_cast
Dist_River,0.423,Lumbr_cast
Dist_Urban,2.223,Lumbr_cast
Elev,3.741,Lumbr_cast
Forest_Coni,1.253,Lumbr_cast
Forest_Deci,3.466,Lumbr_cast
Hg,0.003,Lumbr_cast
MAP,6.872,Lumbr_cast
MAP_Seas,19.099,Lumbr_cast
MAT,9.654,Lumbr_cast
Moisture,0.131,Lumbr_cast
N,4.296,Lumbr_cast
NDVI,2.841,Lumbr_cast
P,6.997,Lumbr_cast
Pastures,2.818,Lumbr_cast
Pop_Dens,1.734,Lumbr_cast
SOC,2.743,Lumbr_cast
Shrubland,0.141,Lumbr_cast
Slope,1.519,Lumbr_cast
pH,5.62,Lumbr_cast
Agriculture,10.572,Lumbr_fest
Aspect,0.296,Lumbr_fest
CEC,4.58,Lumbr_fest
Clay.Silt,1.19,Lumbr_fest
Cu,3.898,Lumbr_fest
Dist_Coast,7.127,Lumbr_fest
Dist_River,0.676,Lumbr_fest
Dist_Urban,0.732,Lumbr_fest
Elev,3.718,Lumbr_fest
Forest_Coni,0.759,Lumbr_fest
Forest_Deci,4.454,Lumbr_fest
Hg,1.08,Lumbr_fest
MAP,10.717,Lumbr_fest
MAP_Seas,10.034,Lumbr_fest
MAT,17.956,Lumbr_fest
Moisture,4.116,Lumbr_fest
N,1.384,Lumbr_fest
NDVI,2.498,Lumbr_fest
P,2.937,Lumbr_fest
Pastures,2.35,Lumbr_fest
Pop_Dens,3.335,Lumbr_fest
SOC,0.382,Lumbr_fest
Shrubland,0.193,Lumbr_fest
Slope,0.541,Lumbr_fest
pH,4.474,Lumbr_fest
Agriculture,0,Lumbr_frie
Aspect,0.573,Lumbr_frie
CEC,2.333,Lumbr_frie
Clay.Silt,0.022,Lumbr_frie
Cu,12.817,Lumbr_frie
Dist_Coast,32.513,Lumbr_frie
Dist_River,0.237,Lumbr_frie
Dist_Urban,0,Lumbr_frie
Elev,0.234,Lumbr_frie
Forest_Coni,3.946,Lumbr_frie
Forest_Deci,1.647,Lumbr_frie
Hg,0,Lumbr_frie
MAP,7.581,Lumbr_frie
MAP_Seas,0,Lumbr_frie
MAT,8.394,Lumbr_frie
Moisture,5.421,Lumbr_frie
N,0,Lumbr_frie
NDVI,0,Lumbr_frie
P,12.076,Lumbr_frie
Pastures,0.224,Lumbr_frie
Pop_Dens,0.054,Lumbr_frie
SOC,9.841,Lumbr_frie
Shrubland,0.04,Lumbr_frie
Slope,0.933,Lumbr_frie
pH,1.114,Lumbr_frie
Agriculture,0,Lumbr_poly
Aspect,0,Lumbr_poly
CEC,0,Lumbr_poly
Clay.Silt,0,Lumbr_poly
Cu,0,Lumbr_poly
Dist_Coast,10.757,Lumbr_poly
Dist_River,0,Lumbr_poly
Dist_Urban,44.062,Lumbr_poly
Elev,0,Lumbr_poly
Forest_Coni,0,Lumbr_poly
Forest_Deci,0,Lumbr_poly
Hg,0,Lumbr_poly
MAP,0,Lumbr_poly
MAP_Seas,28.172,Lumbr_poly
MAT,0.108,Lumbr_poly
Moisture,0.4,Lumbr_poly
N,0.504,Lumbr_poly
NDVI,0.25,Lumbr_poly
P,0,Lumbr_poly
Pastures,0.491,Lumbr_poly
Pop_Dens,0.194,Lumbr_poly
SOC,0,Lumbr_poly
Shrubland,0.331,Lumbr_poly
Slope,0.081,Lumbr_poly
pH,14.651,Lumbr_poly
Agriculture,6.545,Lumbr_rube
Aspect,0.131,Lumbr_rube
CEC,1.448,Lumbr_rube
Clay.Silt,3.349,Lumbr_rube
Cu,8.237,Lumbr_rube
Dist_Coast,3.177,Lumbr_rube
Dist_River,0.403,Lumbr_rube
Dist_Urban,1.523,Lumbr_rube
Elev,11.589,Lumbr_rube
Forest_Coni,1.09,Lumbr_rube
Forest_Deci,2.142,Lumbr_rube
Hg,7.544,Lumbr_rube
MAP,1.946,Lumbr_rube
MAP_Seas,6.311,Lumbr_rube
MAT,17.119,Lumbr_rube
Moisture,1.211,Lumbr_rube
N,0.471,Lumbr_rube
NDVI,1.791,Lumbr_rube
P,7.144,Lumbr_rube
