"Variables","VIF_raw","VIF","MAP","MAP_Seas","MAT","MAT_Seas","Snow","Agriculture","Dist_Urb","Forest_Coni_2012","Forest_Deci_2012","Pastures","Pop_Dens","Shrubland","NDVI","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay","Cu","Hg","N","P","pH","Silt","SOC","Moisture"
"Pastures",3.17003853206872,3.71032179851059,0.20684187362597,-0.130475191735299,0.0999932236194613,-0.264957159442473,-0.215813516368339,-0.246912116884385,-0.12563609040108,-0.221761657733701,-0.136696458810532,1,-0.000779039339295589,-0.14380241074767,0.180251640203885,0.0498692291725468,0.0541785717264879,0.101552655889019,0.0802321332706528,-0.0275721559918075,0.0459242359801392,0.200307257158449,0.0655372327927073,0.0919160871834698,0.338434679175273,0.218477808143914,0.0769366872584823,0.112244157787022,0.169167208150997,0.00684203817842682
"Pop_Dens",1.40874242013651,1.31201925459722,-0.0418849588594816,-0.109495636495364,0.143001179839633,-0.139218989920066,-0.147152770069197,0.0367131129354128,-0.202086537971257,-0.149658718476,-0.0324506109424942,-0.000779039339295589,1,-0.100841817502022,-0.054374252681087,0.0169051154843035,0.0631846675568912,0.0305778261597561,-0.107353859246491,0.0543952225805845,-0.0213425663584541,0.0880012667191247,0.060071899943904,0.0696195683695429,0.0328258357082296,0.154714833681413,0.13387478742898,0.0833447943448159,-0.0647056783402623,0.0518055952410463
"Shrubland",2.36845304056086,2.73624481497418,0.038184499232384,0.239789984911701,-0.0500105361117035,0.0177219239039603,0.197661745715522,-0.272216204670068,0.232096972078834,-0.0416759707323255,-0.0833026050380256,-0.14380241074767,-0.100841817502022,1,-0.0912620479251809,0.0659609124329247,-0.149480066960576,0.00898755576459826,0.115156262227364,-0.0886311735175031,-0.049943835521558,-0.159260899602449,-0.0469007328452822,-0.0841038499282521,-0.0666988212045995,-0.279845646216213,-0.095809808672962,-0.122558804614316,-0.000671137530056789,-0.0323749173480265
"NDVI",3.52752400408099,3.28538692677644,0.332671930194537,-0.371567299036865,-0.0943005083872154,-0.260541237042991,-0.197411336508725,-0.333617695315009,-0.163167214951269,0.165484500020458,0.315627893899944,0.180251640203885,-0.054374252681087,-0.0912620479251809,1,-0.0269660294725875,-0.0546813936554321,0.000236787125839404,-0.152135327862472,-0.00917793627101575,-0.0456628763982194,-0.0682261938915835,-0.0656543542544964,0.210136203993542,0.368701938724726,0.0284096277371863,-0.434907474591921,-0.0538893559037946,0.351480311161364,0.350300763063457
"Aspect",1.03610676664916,1.12724504810704,-0.0132545343375651,-0.0938744757998479,0.102892902013721,-0.100365295883552,-0.0690708447332978,0.0394407909076428,-0.0798394029335153,-0.059795630743547,-0.0151525838912321,0.0498692291725468,0.0169051154843035,0.0659609124329247,-0.0269660294725875,1,0.112043061351991,0.0778800343451709,0.12186787683165,-0.105580513864089,0.0197782315146606,0.127463494225978,0.0817099222908939,0.0244274688774213,0.0530214399650652,-0.0161879371330515,0.138098655091539,0.0562555113667573,-0.00622776739197419,0.0261514372225441
"Dist_Coast",1.91077287979036,1.98070361368016,-0.157143286621053,-0.0320823017103129,-0.0403240131751691,0.364293987247536,-0.114990067747277,0.11292374695921,-0.109440634284168,-0.0690955903000122,0.00543969006462179,0.0541785717264879,0.0631846675568912,-0.149480066960576,-0.0546813936554321,0.112043061351991,1,0.00810854185775254,0.163516522041991,0.0245651803733487,0.0714484809129131,0.141194675986549,-0.0574680353983962,-0.0625895112636144,-0.0903332356337084,-0.0428117344081022,0.0864713071199815,0.241906113485612,-0.203529651567606,-0.0313303509063725
"Dist_River",1.32644747365351,1.36266479201007,0.0805636761186883,0.00471004892433832,0.314904214121946,-0.322354759408054,-0.202339564401658,0.162115780717258,-0.129931230817201,-0.245190028019708,0.0504865869741789,0.101552655889019,0.0305778261597561,0.00898755576459826,0.000236787125839404,0.0778800343451709,0.00810854185775254,1,0.255752042167384,-0.154827520570834,0.110619947936207,0.344123161871427,0.225082253219233,-0.027085238559076,0.191137828653008,0.033353699851942,0.34147197789316,0.222636334998553,-0.000510091649866341,-0.0029547631445087
"Elev",3.97191740657816,2.86509285628462,0.31368666955876,0.206796068902629,-0.0529315276339085,-0.0127530742837289,-0.0644740409761268,-0.229763911842914,0.107753318178094,0.0376939448431625,0.18573324696619,0.0802321332706528,-0.107353859246491,0.115156262227364,-0.152135327862472,0.12186787683165,0.163516522041991,0.255752042167384,1,-0.655353190370838,0.147047756531839,0.235234267771068,0.241015122820848,0.176945366599239,0.283054182092997,-0.34997602279956,0.130869857174717,0.176836166807707,-0.0467080129126998,-0.119105648277065
"Slope",2.77012382230918,2.60927341501978,-0.417631538239573,-0.150315103248978,-0.00137005780832602,0.0662387703409133,0.119467022363775,0.243751259881345,-0.0195706855895745,0.0349262993359318,-0.351627583124151,-0.0275721559918075,0.0543952225805845,-0.0886311735175031,-0.00917793627101575,-0.105580513864089,0.0245651803733487,-0.154827520570834,-0.655353190370838,1,-0.164838599963846,-0.196601187125033,-0.340363718803634,-0.264795329026945,-0.317552308202811,0.262685017674229,-0.110894068436383,-0.109297728681539,-0.0453144204800542,-0.00623412117894899
"CEC",2.11660196629083,2.1079216287398,0.0672634089875001,-0.0441110428749765,0.246966067570042,-0.0102917532380539,-0.127983575908103,0.134816965646483,-0.127481310019101,-0.224377297599157,0.0447848115517723,0.0459242359801392,-0.0213425663584541,-0.049943835521558,-0.0456628763982194,0.0197782315146606,0.0714484809129131,0.110619947936207,0.147047756531839,-0.164838599963846,1,0.527186246377557,0.479721925449487,0.0914119313134779,0.263987301684253,-0.161502920327791,0.441588928272098,0.279814122196679,0.0838435361270597,-0.0881842848912263
