"x" "y" "ID" "Art"
13.573080847 54.534172133 326 "Dendrobaena rubidus"
13.573080847 54.534172133 326 "Lumbricus castaneus"
13.573080847 54.534172133 326 "Lumbricus festivus"
13.573080847 54.534172133 326 "Lumbricus rubellus"
13.573080847 54.534172133 326 "Lumbricus terrestris"
13.573080847 54.534172133 326 "Octolasion cyaneum"
13.573080847 54.534172133 326 "Octolasion lacteum"
8.923080847 54.441172133 354 "Allolobophora chlorotica"
8.923080847 54.441172133 354 "Aporrectodea caliginosa"
8.923080847 54.441172133 354 "Aporrectodea limicola"
8.923080847 54.441172133 354 "Aporrectodea longa"
8.923080847 54.441172133 354 "Aporrectodea rosea"
8.923080847 54.441172133 354 "Dendrobaena octaedra"
8.923080847 54.441172133 354 "Dendrobaena rubidus"
8.923080847 54.441172133 354 "Eisenia fetida"
8.923080847 54.441172133 354 "Lumbricus castaneus"
8.923080847 54.441172133 354 "Lumbricus festivus"
8.923080847 54.441172133 354 "Lumbricus rubellus"
8.923080847 54.441172133 354 "Lumbricus terrestris"
8.923080847 54.441172133 354 "Octolasion cyaneum"
8.923080847 54.441172133 354 "Octolasion lacteum"
8.923080847 54.441172133 354 "Satchellius mammalis"
9.078080847 54.441172133 355 "Allolobophora chlorotica"
9.078080847 54.441172133 355 "Aporrectodea caliginosa"
9.078080847 54.441172133 355 "Aporrectodea limicola"
9.078080847 54.441172133 355 "Aporrectodea longa"
9.078080847 54.441172133 355 "Aporrectodea rosea"
9.078080847 54.441172133 355 "Dendrobaena octaedra"
9.078080847 54.441172133 355 "Dendrobaena rubidus"
9.078080847 54.441172133 355 "Eisenia fetida"
9.078080847 54.441172133 355 "Eiseniella tetraedra"
9.078080847 54.441172133 355 "Lumbricus castaneus"
9.078080847 54.441172133 355 "Lumbricus festivus"
9.078080847 54.441172133 355 "Lumbricus rubellus"
9.078080847 54.441172133 355 "Lumbricus terrestris"
9.078080847 54.441172133 355 "Octolasion cyaneum"
9.078080847 54.441172133 355 "Octolasion lacteum"
9.078080847 54.441172133 355 "Octolasion tyrtaeum"
9.264080847 54.441172133 356 "Allolobophora chlorotica"
9.264080847 54.441172133 356 "Aporrectodea limicola"
9.264080847 54.441172133 356 "Aporrectodea longa"
9.264080847 54.441172133 356 "Aporrectodea rosea"
9.264080847 54.441172133 356 "Dendrobaena rubidus"
9.264080847 54.441172133 356 "Lumbricus castaneus"
9.264080847 54.441172133 356 "Lumbricus festivus"
9.264080847 54.441172133 356 "Lumbricus rubellus"
9.264080847 54.441172133 356 "Lumbricus terrestris"
9.264080847 54.441172133 356 "Octolasion lacteum"
9.419080847 54.441172133 357 "Allolobophora chlorotica"
9.419080847 54.441172133 357 "Aporrectodea limicola"
9.419080847 54.441172133 357 "Aporrectodea longa"
9.419080847 54.441172133 357 "Aporrectodea rosea"
9.419080847 54.441172133 357 "Dendrobaena rubidus"
9.419080847 54.441172133 357 "Lumbricus castaneus"
9.419080847 54.441172133 357 "Lumbricus festivus"
9.419080847 54.441172133 357 "Lumbricus rubellus"
9.419080847 54.441172133 357 "Lumbricus terrestris"
9.419080847 54.441172133 357 "Octolasion lacteum"
9.574080847 54.441172133 358 "Allolobophora chlorotica"
9.574080847 54.441172133 358 "Aporrectodea limicola"
9.574080847 54.441172133 358 "Aporrectodea longa"
9.574080847 54.441172133 358 "Aporrectodea rosea"
9.574080847 54.441172133 358 "Dendrobaena rubidus"
9.574080847 54.441172133 358 "Lumbricus castaneus"
9.574080847 54.441172133 358 "Lumbricus festivus"
9.574080847 54.441172133 358 "Lumbricus rubellus"
9.574080847 54.441172133 358 "Lumbricus terrestris"
9.574080847 54.441172133 358 "Octolasion lacteum"
9.760080847 54.441172133 359 "Allolobophora chlorotica"
9.760080847 54.441172133 359 "Aporrectodea longa"
9.760080847 54.441172133 359 "Aporrectodea rosea"
9.760080847 54.441172133 359 "Dendrobaena rubidus"
9.760080847 54.441172133 359 "Lumbricus castaneus"
9.760080847 54.441172133 359 "Lumbricus festivus"
9.760080847 54.441172133 359 "Lumbricus rubellus"
9.760080847 54.441172133 359 "Lumbricus terrestris"
9.760080847 54.441172133 359 "Octolasion cyaneum"
9.760080847 54.441172133 359 "Octolasion lacteum"
9.915080847 54.441172133 360 "Allolobophora chlorotica"
9.915080847 54.441172133 360 "Aporrectodea caliginosa"
9.915080847 54.441172133 360 "Aporrectodea limicola"
9.915080847 54.441172133 360 "Aporrectodea longa"
9.915080847 54.441172133 360 "Aporrectodea rosea"
9.915080847 54.441172133 360 "Dendrobaena octaedra"
9.915080847 54.441172133 360 "Dendrobaena rubidus"
9.915080847 54.441172133 360 "Lumbricus castaneus"
9.915080847 54.441172133 360 "Lumbricus festivus"
9.915080847 54.441172133 360 "Lumbricus rubellus"
9.915080847 54.441172133 360 "Lumbricus terrestris"
9.915080847 54.441172133 360 "Octolasion cyaneum"
9.915080847 54.441172133 360 "Octolasion lacteum"
11.093080847 54.441172133 367 "Allolobophora chlorotica"
11.093080847 54.441172133 367 "Aporrectodea longa"
11.093080847 54.441172133 367 "Aporrectodea rosea"
11.093080847 54.441172133 367 "Dendrobaena rubidus"
11.093080847 54.441172133 367 "Eisenia fetida"
11.093080847 54.441172133 367 "Lumbricus castaneus"
11.093080847 54.441172133 367 "Lumbricus festivus"
11.093080847 54.441172133 367 "Lumbricus rubellus"
11.093080847 54.441172133 367 "Lumbricus terrestris"
11.093080847 54.441172133 367 "Octolasion cyaneum"
11.093080847 54.441172133 367 "Octolasion lacteum"
11.248080847 54.441172133 368 "Allolobophora chlorotica"
11.248080847 54.441172133 368 "Aporrectodea longa"
11.248080847 54.441172133 368 "Aporrectodea rosea"
11.248080847 54.441172133 368 "Lumbricus castaneus"
11.248080847 54.441172133 368 "Lumbricus festivus"
11.248080847 54.441172133 368 "Lumbricus rubellus"
11.248080847 54.441172133 368 "Lumbricus terrestris"
11.248080847 54.441172133 368 "Octolasion lacteum"
12.581080847 54.441172133 376 "Allolobophora chlorotica"
12.581080847 54.441172133 376 "Aporrectodea limicola"
12.581080847 54.441172133 376 "Aporrectodea longa"
12.581080847 54.441172133 376 "Aporrectodea rosea"
12.581080847 54.441172133 376 "Dendrobaena attemsi"
12.581080847 54.441172133 376 "Dendrobaena octaedra"
12.581080847 54.441172133 376 "Dendrobaena rubidus"
12.581080847 54.441172133 376 "Lumbricus castaneus"
12.581080847 54.441172133 376 "Lumbricus festivus"
12.581080847 54.441172133 376 "Lumbricus rubellus"
12.581080847 54.441172133 376 "Lumbricus terrestris"
12.581080847 54.441172133 376 "Octolasion lacteum"
13.263080847 54.441172133 380 "Aporrectodea longa"
13.263080847 54.441172133 380 "Aporrectodea rosea"
13.263080847 54.441172133 380 "Lumbricus castaneus"
13.263080847 54.441172133 380 "Lumbricus terrestris"
13.263080847 54.441172133 380 "Octolasion lacteum"
13.418080847 54.441172133 381 "Aporrectodea longa"
13.418080847 54.441172133 381 "Aporrectodea rosea"
13.418080847 54.441172133 381 "Dendrobaena rubidus"
13.418080847 54.441172133 381 "Lumbricus castaneus"
13.418080847 54.441172133 381 "Lumbricus festivus"
13.418080847 54.441172133 381 "Lumbricus rubellus"
13.418080847 54.441172133 381 "Lumbricus terrestris"
13.418080847 54.441172133 381 "Octolasion lacteum"
13.573080847 54.441172133 382 "Allolobophora chlorotica"
13.573080847 54.441172133 382 "Aporrectodea caliginosa"
13.573080847 54.441172133 382 "Aporrectodea limicola"
13.573080847 54.441172133 382 "Aporrectodea longa"
13.573080847 54.441172133 382 "Aporrectodea rosea"
13.573080847 54.441172133 382 "Dendrobaena attemsi"
13.573080847 54.441172133 382 "Dendrobaena octaedra"
13.573080847 54.441172133 382 "Dendrobaena rubidus"
13.573080847 54.441172133 382 "Eisenia fetida"
13.573080847 54.441172133 382 "Lumbricus castaneus"
13.573080847 54.441172133 382 "Lumbricus festivus"
13.573080847 54.441172133 382 "Lumbricus rubellus"
13.573080847 54.441172133 382 "Lumbricus terrestris"
13.573080847 54.441172133 382 "Octolasion cyaneum"
13.573080847 54.441172133 382 "Octolasion lacteum"
8.923080847 54.255172133 466 "Allolobophora chlorotica"
8.923080847 54.255172133 466 "Aporrectodea limicola"
8.923080847 54.255172133 466 "Aporrectodea longa"
8.923080847 54.255172133 466 "Aporrectodea rosea"
8.923080847 54.255172133 466 "Dendrobaena rubidus"
8.923080847 54.255172133 466 "Lumbricus castaneus"
8.923080847 54.255172133 466 "Lumbricus festivus"
8.923080847 54.255172133 466 "Lumbricus rubellus"
8.923080847 54.255172133 466 "Lumbricus terrestris"
8.923080847 54.255172133 466 "Octolasion cyaneum"
8.923080847 54.255172133 466 "Octolasion lacteum"
9.078080847 54.255172133 467 "Allolobophora chlorotica"
9.078080847 54.255172133 467 "Aporrectodea caliginosa"
9.078080847 54.255172133 467 "Aporrectodea limicola"
9.078080847 54.255172133 467 "Aporrectodea longa"
9.078080847 54.255172133 467 "Aporrectodea rosea"
9.078080847 54.255172133 467 "Dendrobaena rubidus"
9.078080847 54.255172133 467 "Lumbricus castaneus"
9.078080847 54.255172133 467 "Lumbricus festivus"
9.078080847 54.255172133 467 "Lumbricus rubellus"
9.078080847 54.255172133 467 "Lumbricus terrestris"
9.078080847 54.255172133 467 "Octolasion cyaneum"
9.078080847 54.255172133 467 "Octolasion lacteum"
9.078080847 54.255172133 467 "Octolasion tyrtaeum"
9.264080847 54.255172133 468 "Aporrectodea limicola"
9.264080847 54.255172133 468 "Aporrectodea longa"
9.264080847 54.255172133 468 "Lumbricus rubellus"
9.264080847 54.255172133 468 "Octolasion lacteum"
9.419080847 54.255172133 469 "Allolobophora chlorotica"
9.419080847 54.255172133 469 "Aporrectodea caliginosa"
9.419080847 54.255172133 469 "Aporrectodea limicola"
9.419080847 54.255172133 469 "Aporrectodea longa"
9.419080847 54.255172133 469 "Aporrectodea rosea"
9.419080847 54.255172133 469 "Dendrobaena octaedra"
9.419080847 54.255172133 469 "Dendrobaena rubidus"
9.419080847 54.255172133 469 "Eisenia fetida"
9.419080847 54.255172133 469 "Eiseniella tetraedra"
9.419080847 54.255172133 469 "Lumbricus castaneus"
9.419080847 54.255172133 469 "Lumbricus festivus"
9.419080847 54.255172133 469 "Lumbricus rubellus"
