"x" "y" "ID" "Artensumme"
9.915080847 54.038172133 584 11
10.070080847 54.038172133 585 NA
10.256080847 54.038172133 586 6
10.411080847 54.038172133 587 13
10.597080847 54.038172133 588 12
10.752080847 54.038172133 589 12
10.907080847 54.038172133 590 NA
11.093080847 54.038172133 591 NA
11.248080847 54.038172133 592 NA
11.403080847 54.038172133 593 NA
11.589080847 54.038172133 594 9
11.744080847 54.038172133 595 6
11.930080847 54.038172133 596 7
12.085080847 54.038172133 597 10
12.240080847 54.038172133 598 11
12.426080847 54.038172133 599 9
12.581080847 54.038172133 600 4
12.736080847 54.038172133 601 NA
12.922080847 54.038172133 602 4
13.077080847 54.038172133 603 4
13.263080847 54.038172133 604 1
13.418080847 54.038172133 605 2
13.573080847 54.038172133 606 0
13.759080847 54.038172133 607 10
