Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Metaphire tschiliensis,Metap_tsch,NA,NA,Endogeic,Metaphire tschiliensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,1,0,0
Microscolex dubius,Micro_dubi,NA,NA,Epi-Endogeic,Microscolex dubius,30,0,70,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Microscolex,271,18,18
Microscolex phosphoreus,Micro_phos,NA,NA,Endogeic,Microscolex phosphoreus,29,0,71,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Microscolex,196,34,34
Millsonia guttata,Mills_gutt,NA,NA,Endogeic,Millsonia guttata,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Millsonia,3,0,0
Millsonia inermis,Mills_iner,NA,NA,Endogeic,Millsonia inermis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Millsonia,17,0,0
Millsonia lamtoiana,Mills_lamt,NA,NA,Endogeic,Millsonia lamtoiana,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Millsonia,2,0,0
Millsonia schlegeli,Mills_schl,NA,NA,Endogeic,Millsonia schlegeli,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Millsonia,3,0,0
Murchieona minuscula,Murch_minu,NA,NA,NA,Murchieona minuscula,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Murchieona,14,5,5
Murchieona muldali,Murch_muld,NA,NA,Endogeic,Murchieona muldali,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Murchieona,40,17,17
Nematogenia lacuum,Nemat_lacu,NA,NA,NA,Nematogenia lacuum,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Nematogenia,15,0,0
Neotrigaster rufa,Neotr_rufa,NA,NA,Epigeic,Neotrigaster rufa,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Neotrigaster,2,0,0
Ocnerodrilus occidentalis,Ocner_occi,NA,NA,Endogeic,Ocnerodrilus occidentalis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Ocnerodrilus,3,3,3
Octochaetona beatrix,Octoc_beat,NA,NA,Endogeic,Octochaetona beatrix,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Octochaetona,3,0,0
Octodrilus argoviensis,Octod_argo,NA,NA,Epigeic,Octodrilus argoviensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,22,12,12
Octodrilus bretscheri,Octod_bret,NA,NA,NA,Octodrilus bretscheri,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,2,2,2
Octodrilus complanatus,Octod_comp,NA,NA,Anecic,Octodrilus complanatus,4,75,21,Anecic,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,33,30,30
Octodrilus compromissus,Octod_comp,NA,NA,NA,Octodrilus compromissus,4,75,21,Anecic,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,33,30,30
Octodriloides damianii,Octod_dami,NA,NA,Endogeic,Octodriloides damianii,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodriloides,2,2,2
Octodrilus exacystis,Octod_exac,NA,NA,NA,Octodrilus exacystis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,2,2,2
Octodrilus juvyi,Octod_juvy,NA,NA,NA,Octodrilus juvyi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,4,2,4
Octodrilus lissaensis,Octod_liss,NA,NA,Endogeic,Octodrilus lissaensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,1,1,1
Octodrilus mimus,Octod_mimu,NA,NA,NA,Octodrilus mimus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,2,1,1
Octodrilus transpadanus,Octod_tran,NA,NA,Endogeic,Octodrilus transpadanus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,13,10,10
Octolasion cyaneum,Octol_cyan,NA,NA,Endogeic,Octolasion cyaneum,21,24,55,Intermediate,Intermediate,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,478,158,168
Octolasion lacteum,Octol_lact,NA,NA,Endogeic,Octolasion lacteum,14,20,66,Endo-anecic,Endo-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,2845,288,315
Octolasion oerley,Octol_oerl,NA,NA,NA,Octolasion,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,426,87,94
Octolasion tyrtaeum,Octol_tyrt,NA,NA,Epi-Endogeic,Octolasion tyrtaeum,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,1610,435,444
