"Variables","VIF_raw","VIF","MAP","MAP_Seas","MAT","MAT_Seas","Agriculture","Dist_Urban","Forest_Coni","Forest_Deci","NDVI","Pastures","Pop_Dens","Shrubland","Aspect","Dist_Coast","Dist_River","Elev","Slope","CEC","Clay.Silt","Cu","Hg","Moisture","N","P","pH","SOC"
"Dist_Coast",1.95642106033002,1.86721200799237,-0.137700649542923,-0.057372434434185,-0.0216950714402798,0.289769546144749,0.117439015109003,-0.137494005154307,-0.0585513817210291,0.0545796985047135,0.0363748954353343,0.0778249621696778,0.0103021071419105,-0.200531058419628,0.140151777136768,1,0.00137505031369973,0.145202474748536,-0.000425132271277359,0.0159727179136394,0.234846806123241,-0.110374043884437,-0.0260362287520073,-0.00156068071378313,-0.0435386814422901,0.0254446599779863,0.0637654372983898,-0.19270134457455
"Dist_River",1.29440342114763,1.21274507634307,0.0916547898212826,0.0527373016933127,0.249964162536393,-0.302710379700791,0.103036288096154,-0.142826366941767,-0.173744285540226,0.00871112843061307,0.0417460860757988,0.184751895501293,0.0830190305518207,0.0137707540725996,0.141900396742411,0.00137505031369973,1,0.180208341660077,-0.194819227714279,0.0711828689315336,0.22302451462485,0.1973507141696,0.0586345307036317,0.0414999568932892,0.151104370634717,0.000706805920715489,0.254416072566131,0.0263407145390383
"Elev",4.20031986182618,4.0647883116579,0.373219812081848,0.189637826910513,-0.110978366866697,-0.0344172570104507,-0.293856075298065,0.136942756946112,0.0411826203919563,0.214002097856578,-0.124190711627865,0.183539571612252,-0.135973535854749,0.307170516794245,0.18255587612704,0.145202474748536,0.180208341660077,1,-0.746880351664957,0.128047275966766,0.206486737482366,0.187690489249643,0.329999770337356,-0.094508582138576,0.41704625405871,-0.370862726918144,0.142297489422771,-0.0127646634696555
"Slope",3.52269975367889,3.39217600919985,-0.445159416345954,-0.128701152384482,0.00815157783951638,0.120405263906479,0.281302186975343,0.0261314661089767,0.0426130599559639,-0.365579183794633,-0.0841378726323163,-0.167428371656042,0.0750552129583558,-0.171177088721491,-0.149524304009742,-0.000425132271277359,-0.194819227714279,-0.746880351664957,1,-0.208301572605944,-0.221424333212217,-0.350481853596089,-0.396970416846282,0.00343679190051119,-0.504960391539289,0.300054251555573,-0.144807498341066,-0.12247676847671
"CEC",2.25215341182605,2.25883983345104,-0.00661452508352885,-0.0364929692728339,0.247967615842633,0.0506095409752537,0.143790454467663,-0.13872717858145,-0.269934572600441,0.146061850904353,-0.0366170356196793,0.0425804879053164,-0.0321643331447959,-0.0716138517018325,-0.00790575614197434,0.0159727179136394,0.0711828689315336,0.128047275966766,-0.208301572605944,1,0.501651168365773,0.490628130831208,0.100768048440518,-0.0921314900573498,0.213034377645041,-0.214382803120125,0.482749516255937,-0.0335914470034392
"Clay.Silt",3.12707267014199,3.1702633790049,0.0865296365097497,-0.0676406271000715,0.498694554149817,-0.26799018867977,0.392989274488639,-0.335852226538765,-0.540345146039837,0.176977639383979,0.00214556659220912,0.155838881701813,0.104718237054851,-0.154822323336075,0.126891636102552,0.234846806123241,0.22302451462485,0.206486737482366,-0.221424333212217,0.501651168365773,1,0.599545090721288,0.0634443476700605,-0.0565880221795359,0.265827367567579,-0.023358316478042,0.667452545836983,-0.201695578615063
"Cu",2.26105123628459,2.47535263433921,0.163101569577252,0.082097041987652,0.486006421110995,-0.219809046126559,0.235019015199828,-0.229489790436902,-0.384705980017077,0.188843311353366,-0.0164969958861499,0.0298722464792224,0.122078117388224,-0.0510204445633626,0.0804545037076171,-0.110374043884437,0.1973507141696,0.187690489249643,-0.350481853596089,0.490628130831208,0.599545090721288,1,0.0655298931614123,-0.0890220457833368,0.226595393647697,-0.161487197812775,0.535420457692318,-0.108250003299684
"Hg",1.93741762562446,2.12736253756745,0.525838029869665,-0.170781885005497,-0.206050586491133,-0.175145161659876,-0.328596651360444,-0.0651823811416287,0.134902606531299,0.0600106231753083,0.243686846314859,0.257930791900427,0.107231121675455,-0.00862527780209616,-0.013061431760161,-0.0260362287520073,0.0586345307036317,0.329999770337356,-0.396970416846282,0.100768048440518,0.0634443476700605,0.0655298931614123,1,0.149411400659936,0.600176639679942,0.0111061934846865,-0.197089954047779,0.325319112144043
"Moisture",1.31437854340418,1.24459001924703,0.100677091009959,-0.220905706411442,0.0441469206015119,-0.193133949701521,0.0318818708691328,-0.21898642746784,0.0333666746957953,0.0065615934855268,0.332537670842843,0.0528735804681175,0.0407149943777419,-0.0690298102833629,0.0548057055419562,-0.00156068071378313,0.0414999568932892,-0.094508582138576,0.00343679190051119,-0.0921314900573498,-0.0565880221795359,-0.0890220457833368,0.149411400659936,1,0.157430270309057,0.143647029532496,-0.11327454169823,0.139049627868135
"N",3.13921342870096,3.31381706837986,0.650706601122547,-0.234625000631889,-0.027655098536003,-0.387619963074858,-0.214626176613078,-0.127337680071272,-0.202298286938762,0.227416902347164,0.30605068934976,0.48983193496284,0.00123865271637217,-0.0203923040975293,0.121973482753404,-0.0435386814422901,0.151104370634717,0.41704625405871,-0.504960391539289,0.213034377645041,0.265827367567579,0.226595393647697,0.600176639679942,0.157430270309057,1,0.0315894257944743,0.0401583670549199,0.403148565926885
"P",2.8000346405818,2.80024731308747,-0.105220117025037,-0.439103298850837,-0.00195602537844982,-0.242937857993014,0.381684317881597,-0.279473110297445,-0.242324324157473,-0.336332372090114,0.0953112509729019,0.215915327552433,0.234784865000912,-0.344393842452648,-0.0240570612087446,0.0254446599779863,0.000706805920715489,-0.370862726918144,0.300054251555573,-0.214382803120125,-0.023358316478042,-0.161487197812775,0.0111061934846865,0.143647029532496,0.0315894257944743,1,0.0494507369268702,0.146774397971928
"pH",7.42613999942125,7.02719702343733,-0.154933403491864,0.0461497875744177,0.709215925399882,-0.332587152312589,0.608523883584736,-0.347332959822646,-0.668273729603097,-0.0423345044827738,-0.323219383748961,0.0947263302005047,0.17263086709635,-0.0907614903261739,0.181178341187849,0.0637654372983898,0.254416072566131,0.142297489422771,-0.144807498341066,0.482749516255937,0.667452545836983,0.535420457692318,-0.197089954047779,-0.11327454169823,0.0401583670549199,0.0494507369268702,1,-0.261108091848816
"SOC",1.90886621623483,1.92842280026293,0.489734340786401,-0.24351281278068,-0.223018370993016,-0.248543776841613,-0.278090864052195,0.037903923827283,0.0712715358267617,0.0320485657086901,0.314322259943013,0.285070224339671,-0.0494050674133367,-0.0538775171903245,0.0868190170453485,-0.19270134457455,0.0263407145390383,-0.0127646634696555,-0.12247676847671,-0.0335914470034392,-0.201695578615063,-0.108250003299684,0.325319112144043,0.139049627868135,0.403148565926885,0.146774397971928,-0.261108091848816,1
