"Group_name","Species","SpeciesID","Fct_group","Comment","Ecogroup_Phillips","Acc_name","Species_Briones","Ecogroup_Briones","Species_final","Genus","Percent_Epigeic","Percent_Anecic","Percent_Endogeic","Ecogroup_Bottinelli","Ecogroup","kingdom","subkingdom","infrakingdom","superphylum","phylum","class","superorder","order","suborder","superfamily","family","Records","NumCells_2km"
"Earthworms","Allolobophora parva","Allol_parv",NA,NA,NA,"Allolobophora parva",NA,NA,"Allolobophora parva","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora robusta","Allol_robu",NA,NA,NA,"Allolobophora robusta",NA,NA,"Allolobophora robusta","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora rosea","Allol_rose",NA,NA,NA,"Allolobophora rosea",NA,NA,"Allolobophora rosea","Allolobophora",15,0,85,"Endogeic","Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",38,24
"Earthworms","Allolobophora satchelli","Allol_satc",NA,NA,NA,"Allolobophora satchelli",NA,NA,"Allolobophora satchelli","Allolobophora",19,0,81,"Endogeic","Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allolobophora sturanyi","Allol_stur",NA,NA,NA,"Allolobophora sturanyi","Allolobophora sturanyi","Endogeic","Allolobophora sturanyi","Allolobophora",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",2,2
"Earthworms","Allolobophora sturanyi dacidoides","Allol_stur",NA,NA,"Endogeic","Allolobophora sturanyi dacidoides","Allolobophora sturanyi dacidoides","Endogeic","Allolobophora sturanyi dacidoides","Allolobophora",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",2,2
"Earthworms","Allolobophora terrestris","Allol_terr",NA,NA,NA,"Allolobophora terrestris",NA,NA,"Allolobophora terrestris","Allolobophora",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Allobophoridella eiseni","Allol_eise",NA,NA,"Epigeic","Allolobophoridella eiseni",NA,NA,"Allolobophoridella eiseni","Allolobophoridella",NA,NA,NA,NA,"Epigeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",305,164
"Earthworms","Allolobophoridella eiseni","Allol_eise",NA,NA,"Epigeic","Allolobophoridella eiseni","Allolobophoridella eiseni","Epigeic","Allolobophoridella eiseni","Allolobophoridella",NA,NA,NA,NA,"Epigeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",305,164
"Earthworms","Bimastos eiseni","Allol_eise",NA,NA,NA,"Bimastos eiseni","Allolobophoridella eiseni","Epigeic","Allolobophoridella eiseni","Allolobophoridella",NA,NA,NA,NA,"Epigeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",305,164
"Earthworms","Allurus neapolitanus","Allur_neap",NA,NA,NA,"Allurus neapolitanus",NA,NA,"Allurus neapolitanus","Allurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lumbricidae",0,0
"Earthworms","Amynthas agrestis","Amynt_agre",NA,NA,"Epi-Endogeic","Amynthas agrestis","Amynthas agrestis","Epi-endogeic","Amynthas agrestis","Amynthas",NA,NA,NA,NA,"Epi-endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",1,1
"Earthworms","Amynthas aspergillum","Amynt_aspe",NA,NA,"Anecic","Amynthas aspergillum",NA,NA,"Amynthas aspergillum","Amynthas",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Amynthas corticis","Amynt_cort",NA,NA,"Epi-Endogeic","Amynthas corticis","Amynthas corticis","Epi-endogeic","Amynthas corticis","Amynthas",NA,NA,NA,NA,"Epi-endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",4,4
"Earthworms","Amynthas gracilis","Amynt_grac",NA,NA,"Epi-Endogeic","Amynthas gracilis",NA,NA,"Amynthas gracilis","Amynthas",NA,NA,NA,NA,"Epi-Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Amynthas heterochaetus","Amynt_hete",NA,NA,NA,"Amynthas heterochaetus",NA,NA,"Amynthas heterochaetus","Amynthas",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Amynthas hupeiensis","Amynt_hupe",NA,NA,"Endogeic","Amynthas hupeiensis",NA,NA,"Amynthas hupeiensis","Amynthas",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Amynthas mediocus","Amynt_medi",NA,NA,NA,"Amynthas mediocus",NA,NA,"Amynthas mediocus","Amynthas",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Amynthas minimus","Amynt_mini",NA,NA,"Endogeic","Amynthas minimus",NA,NA,"Amynthas minimus","Amynthas",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Amynthas morrisi","Amynt_morr",NA,NA,"Epi-Endogeic","Amynthas morrisi",NA,NA,"Amynthas morrisi","Amynthas",NA,NA,NA,NA,"Epi-Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",1,1
"Earthworms","Perichaeta morrisi","Amynt_morr",NA,NA,NA,"Perichaeta morrisi","Amynthas morrisi","Epi-Endogeic","Amynthas morrisi","Amynthas",NA,NA,NA,NA,"Epi-Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",1,1
"Earthworms","Amynthas rodericensis","Amynt_rode",NA,NA,NA,"Amynthas rodericensis",NA,NA,"Amynthas rodericensis","Amynthas",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",1,1
"Earthworms","Amynthas tokioensis","Amynt_toki",NA,NA,"Epi-Endogeic","Amynthas tokioensis",NA,NA,"Amynthas tokioensis","Amynthas",NA,NA,NA,NA,"Epi-Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Anisochaeta macleayi","Aniso_macl",NA,NA,"Epi-Endogeic","Anisochaeta macleayi",NA,NA,"Anisochaeta macleayi","Anisochaeta",NA,NA,NA,NA,"Epi-Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Megascolecoidea","Megascolecidae",0,0
"Earthworms","Aporrectodea caliginosa","Aporr_cali",NA,NA,"Endogeic","Aporrectodea caliginosa","Aporrectodea caliginosa","Endogeic","Aporrectodea caliginosa","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",16544,3399
"Earthworms","Allolobophora carpathica","Aporr_carp",NA,NA,"Anecic","Allolobophora carpathica","Aporrectodea carpathica","Anecic","Aporrectodea carpathica","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",2,2
"Earthworms","Aporrectodea cupulifera","Aporr_cupu",NA,NA,"Endogeic","Aporrectodea cupulifera","Aporrectodea cupulifera","Endogeic","Aporrectodea cupulifera","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",38,18
"Earthworms","Allolobophora cupulifera","Aporr_cupu",NA,NA,NA,"Allolobophora cupulifera","Aporrectodea cupulifera","Endogeic","Aporrectodea cupulifera","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",38,18
"Earthworms","Aporrectodea dubiosa","Aporr_dubi",NA,NA,"Anecic","Aporrectodea dubiosa","Aporrectodea dubiosa","Anecic","Aporrectodea dubiosa","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",6,4
"Earthworms","Allolobophora dubiosa","Aporr_dubi",NA,NA,NA,"Allolobophora dubiosa","Aporrectodea dubiosa","Anecic","Aporrectodea dubiosa","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",6,4
"Earthworms","Aporrectodea georgii","Aporr_geor",NA,NA,NA,"Aporrectodea georgii","Aporrectodea georgii","Endogeic","Aporrectodea georgii","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",23,9
"Earthworms","Aporrectodea giardi","Aporr_giar",NA,NA,"Anecic","Aporrectodea giardi","Aporrectodea giardi","Anecic","Aporrectodea giardi","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",9,3
"Earthworms","Eiseniona hardlirschi","Aporr_hand",NA,NA,"Endogeic","Eiseniona handlirschi","Aporrectodea handlirschi","Endogeic","Aporrectodea handlirschi","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",23,11
"Earthworms","Aporrectodea handlirschi","Aporr_hand",NA,NA,NA,"Aporrectodea handlirschi","Aporrectodea handlirschi","Endogeic","Aporrectodea handlirschi","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",23,11
"Earthworms","Aporrectodea haymoziformis","Aporr_haym",NA,NA,NA,"Aporrectodea haymoziformis",NA,NA,"Aporrectodea haymoziformis","Aporrectodea",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
"Earthworms","Aporrectodea icterica","Aporr_icte",NA,NA,"Endogeic","Aporrectodea icterica","Aporrectodea icterica","Endogeic","Aporrectodea icterica","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",174,68
"Earthworms","Eophila icterica","Aporr_icte",NA,NA,NA,"Eophila icterica","Aporrectodea icterica",NA,"Aporrectodea icterica","Aporrectodea",NA,NA,NA,NA,NA,"Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",174,68
"Earthworms","Aporrectodea jassyensis","Aporr_jass",NA,NA,NA,"Aporrectodea jassyensis","Aporrectodea jassyensis","Endogeic","Aporrectodea jassyensis","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",19,5
"Earthworms","Aporrectodea limicola","Aporr_limi",NA,NA,"Endogeic","Aporrectodea limicola","Aporrectodea limicola","Endogeic","Aporrectodea limicola","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",232,118
"Earthworms","Aporrectodea longa","Aporr_long",NA,NA,"Anecic","Aporrectodea longa","Aporrectodea longa","Anecic","Aporrectodea longa","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",3364,1049
"Earthworms","Aporrectodea molleri","Aporr_moll",NA,NA,"Anecic","Aporrectodea molleri","Aporrectodea molleri","Endogeic","Aporrectodea molleri","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",61,33
"Earthworms","Aporrectodea moebii","Aporr_moll",NA,NA,"Endogeic","Aporrectodea moebii","Aporrectodea molleri",NA,"Aporrectodea molleri","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",61,33
"Earthworms","Aporrectodea nocturna","Aporr_noct",NA,NA,"Anecic","Aporrectodea nocturna","Aporrectodea nocturna","Anecic","Aporrectodea nocturna","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",35,28
"Earthworms","Aporrectodea oliveirae","Aporr_oliv",NA,NA,"Epigeic","Aporrectodea oliveirae","Aporrectodea oliveirae","Epigeic","Aporrectodea oliveirae","Aporrectodea",NA,NA,NA,NA,"Epigeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",29,26
"Earthworms","Aporrectodea opisthosellata","Aporr_opis",NA,NA,"Anecic","Aporrectodea opisthosellata","Aporrectodea opisthosellata","Endogeic","Aporrectodea opisthosellata","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",1,1
"Earthworms","Aporrectodea rosea","Aporr_rose",NA,NA,"Endogeic","Aporrectodea rosea","Aporrectodea rosea","Endogeic","Aporrectodea rosea","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",12370,2543
"Earthworms","Allolobophora smaragdina","Aporr_smar",NA,NA,NA,"Allolobophora smaragdina","Aporrectodea smaragdina","Endogeic","Aporrectodea smaragdina","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",23,21
"Earthworms","Aporrectodea smaragdina","Aporr_smar",NA,NA,NA,"Aporrectodea smaragdina","Aporrectodea smaragdina","Epi-endogeic","Aporrectodea smaragdina","Aporrectodea",NA,NA,NA,NA,"Epi-endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",23,21
"Earthworms","Allolobophora thaleri","Aporr_thal",NA,NA,NA,"Allolobophora thaleri","Aporrectodea thaleri","N/A","Aporrectodea thaleri","Aporrectodea",NA,NA,NA,NA,"N/A","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",7,2
"Earthworms","Aporrectodea thaleri","Aporr_thal",NA,NA,NA,"Aporrectodea thaleri","Aporrectodea thaleri","N/A","Aporrectodea thaleri","Aporrectodea",NA,NA,NA,NA,"N/A","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",7,2
"Earthworms","Aporrectodea trapezoides","Aporr_trap",NA,NA,"Anecic","Aporrectodea trapezoides","Aporrectodea trapezoides","Anecic","Aporrectodea trapezoides","Aporrectodea",NA,NA,NA,NA,"Anecic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",149,55
"Earthworms","Aporrectodea tuberculata","Aporr_tube",NA,NA,"Endogeic","Aporrectodea tuberculata",NA,NA,"Aporrectodea tuberculata","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",18,7
"Earthworms","Aporrectodea turgida","Aporr_turg",NA,NA,"Endogeic","Aporrectodea turgida",NA,NA,"Aporrectodea turgida","Aporrectodea",NA,NA,NA,NA,"Endogeic","Animalia","Bilateria","Protostomia","Lophozoa","Annelida","Clitellata","Metagynophora","Opisthopora","Crassiclitellata","Lumbricoidea","Lumbricidae",0,0
