Predictor,maxent,Species,Run
Pastures,0.545,Aporr_trap,1
Pop_Dens,6.54,Aporr_trap,1
SOC,10.073,Aporr_trap,1
Shrubland,2.65,Aporr_trap,1
Slope,8.889,Aporr_trap,1
pH,3.458,Aporr_trap,1
Agriculture,0,Dendr_alpi,1
Aspect,0,Dendr_alpi,1
CEC,0,Dendr_alpi,1
Clay.Silt,57.365,Dendr_alpi,1
Cu,0.592,Dendr_alpi,1
Dist_Coast,11.473,Dendr_alpi,1
Dist_River,0,Dendr_alpi,1
Dist_Urban,0,Dendr_alpi,1
Elev,0.74,Dendr_alpi,1
Forest_Coni,2.591,Dendr_alpi,1
Forest_Deci,0,Dendr_alpi,1
Hg,0.148,Dendr_alpi,1
MAP,0,Dendr_alpi,1
MAP_Seas,0,Dendr_alpi,1
MAT,0,Dendr_alpi,1
Moisture,0.444,Dendr_alpi,1
N,0,Dendr_alpi,1
NDVI,0,Dendr_alpi,1
P,0,Dendr_alpi,1
Pastures,0.592,Dendr_alpi,1
Pop_Dens,2.369,Dendr_alpi,1
SOC,0,Dendr_alpi,1
Shrubland,0.518,Dendr_alpi,1
Slope,0,Dendr_alpi,1
pH,23.168,Dendr_alpi,1
Agriculture,2.131,Dendr_atte,1
Aspect,0.653,Dendr_atte,1
CEC,3.628,Dendr_atte,1
Clay.Silt,5.868,Dendr_atte,1
Cu,0.231,Dendr_atte,1
Dist_Coast,12.538,Dendr_atte,1
Dist_River,0.317,Dendr_atte,1
Dist_Urban,3.366,Dendr_atte,1
Elev,2.06,Dendr_atte,1
Forest_Coni,0.701,Dendr_atte,1
Forest_Deci,11.574,Dendr_atte,1
Hg,0.459,Dendr_atte,1
MAP,3.446,Dendr_atte,1
MAP_Seas,1.548,Dendr_atte,1
MAT,21.416,Dendr_atte,1
Moisture,2.138,Dendr_atte,1
N,1.826,Dendr_atte,1
NDVI,4.537,Dendr_atte,1
P,2.52,Dendr_atte,1
Pastures,1.832,Dendr_atte,1
Pop_Dens,2.53,Dendr_atte,1
SOC,0.727,Dendr_atte,1
Shrubland,0.896,Dendr_atte,1
Slope,3.288,Dendr_atte,1
pH,9.772,Dendr_atte,1
Agriculture,7.911,Dendr_bybl,1
Aspect,0.035,Dendr_bybl,1
CEC,0.461,Dendr_bybl,1
Clay.Silt,26.889,Dendr_bybl,1
Cu,0.816,Dendr_bybl,1
Dist_Coast,3.264,Dendr_bybl,1
Dist_River,2.235,Dendr_bybl,1
Dist_Urban,0,Dendr_bybl,1
Elev,0.568,Dendr_bybl,1
Forest_Coni,5.463,Dendr_bybl,1
Forest_Deci,6.563,Dendr_bybl,1
Hg,2.66,Dendr_bybl,1
MAP,0.532,Dendr_bybl,1
MAP_Seas,7.201,Dendr_bybl,1
MAT,9.862,Dendr_bybl,1
Moisture,1.454,Dendr_bybl,1
N,0.142,Dendr_bybl,1
NDVI,0.568,Dendr_bybl,1
P,0,Dendr_bybl,1
Pastures,8.159,Dendr_bybl,1
Pop_Dens,3.264,Dendr_bybl,1
SOC,0.71,Dendr_bybl,1
Shrubland,8.62,Dendr_bybl,1
Slope,0,Dendr_bybl,1
pH,2.625,Dendr_bybl,1
Agriculture,4.203,Dendr_hort,1
Aspect,0,Dendr_hort,1
CEC,2.485,Dendr_hort,1
Clay.Silt,0,Dendr_hort,1
Cu,0.028,Dendr_hort,1
Dist_Coast,24.972,Dendr_hort,1
Dist_River,0.065,Dendr_hort,1
Dist_Urban,5.259,Dendr_hort,1
Elev,1.308,Dendr_hort,1
Forest_Coni,28.858,Dendr_hort,1
Forest_Deci,0.494,Dendr_hort,1
Hg,2.274,Dendr_hort,1
MAP,0.149,Dendr_hort,1
MAP_Seas,2.075,Dendr_hort,1
MAT,1.165,Dendr_hort,1
Moisture,0,Dendr_hort,1
N,0.115,Dendr_hort,1
NDVI,18.116,Dendr_hort,1
P,2.392,Dendr_hort,1
Pastures,0.916,Dendr_hort,1
Pop_Dens,2.156,Dendr_hort,1
SOC,1.134,Dendr_hort,1
Shrubland,0,Dendr_hort,1
Slope,0,Dendr_hort,1
pH,1.836,Dendr_hort,1
Agriculture,0,Dendr_illy,1
Aspect,0.015,Dendr_illy,1
CEC,0.981,Dendr_illy,1
Clay.Silt,0.931,Dendr_illy,1
Cu,0.076,Dendr_illy,1
Dist_Coast,74.572,Dendr_illy,1
Dist_River,0.006,Dendr_illy,1
Dist_Urban,0.58,Dendr_illy,1
Elev,0,Dendr_illy,1
Forest_Coni,0.188,Dendr_illy,1
Forest_Deci,1.297,Dendr_illy,1
Hg,2.206,Dendr_illy,1
MAP,0.074,Dendr_illy,1
MAP_Seas,13.936,Dendr_illy,1
MAT,0.146,Dendr_illy,1
