"IUCNcat","sumCell","coverage","coverage_km2","SpeciesID"
"Not.Assigned",1048.63953094311,0.0126,5243.2,"Eisen_feti"
"Not.Reported",13357.8565211968,0.1609,66789.28,"Eisen_feti"
"Outside.PA",56122.837059586,0.6759,280614.19,"Eisen_feti"
"Presence",83038,1,415190,"Eisen_feti"
"Protected",12247.2157138995,0.1475,61236.08,"Eisen_feti"
"Unprotected",70790.7842861005,0.8525,353953.92,"Eisen_feti"
"V",8473.15249291615,0.102,42365.76,"Eisen_feti"
"VI",516.120641768324,0.0062,2580.6,"Eisen_feti"
"Ia",6.00646076320982,1e-04,30.03,"Eisen_tetr"
"Ib",4.68937812678223,1e-04,23.45,"Eisen_tetr"
"II",96.4156173333786,0.0024,482.08,"Eisen_tetr"
"III",7.07648355776632,2e-04,35.38,"Eisen_tetr"
"IV",1001.07424609731,0.0246,5005.37,"Eisen_tetr"
"Not.Applicable",127.568707814842,0.0031,637.84,"Eisen_tetr"
"Not.Assigned",697.820535116858,0.0171,3489.1,"Eisen_tetr"
"Not.Reported",4884.94069285736,0.1198,24424.7,"Eisen_tetr"
"Outside.PA",28351.8793483482,0.6953,141759.4,"Eisen_tetr"
"Presence",40774,1,203870,"Eisen_tetr"
"Protected",6711.79071586276,0.1646,33558.95,"Eisen_tetr"
"Unprotected",34062.2092841372,0.8354,170311.05,"Eisen_tetr"
"V",5562.86170898205,0.1364,27814.31,"Eisen_tetr"
"VI",33.6668210022617,8e-04,168.33,"Eisen_tetr"
"Ia",137.678178827564,0.0011,688.39,"Lumbr_cast"
"Ib",93.3728937832086,7e-04,466.86,"Lumbr_cast"
"II",1555.43912818019,0.0123,7777.2,"Lumbr_cast"
"III",100.233489025947,8e-04,501.17,"Lumbr_cast"
"IV",3381.17952232076,0.0268,16905.9,"Lumbr_cast"
"Not.Applicable",568.973797678152,0.0045,2844.87,"Lumbr_cast"
"Not.Assigned",1898.36374810073,0.0151,9491.82,"Lumbr_cast"
"Not.Reported",23327.2599158451,0.185,116636.3,"Lumbr_cast"
"Outside.PA",76966.8382833296,0.6103,384834.19,"Lumbr_cast"
"Presence",126121,1,630605,"Lumbr_cast"
"Protected",23359.5642550465,0.1852,116797.82,"Lumbr_cast"
"Unprotected",102761.435744954,0.8148,513807.18,"Lumbr_cast"
"V",17558.2608095837,0.1392,87791.3,"Lumbr_cast"
"VI",533.400233325098,0.0042,2667,"Lumbr_cast"
"Ia",16.5486404393906,3e-04,82.74,"Lumbr_fest"
"Ib",5.77585688976774,1e-04,28.88,"Lumbr_fest"
"II",174.396008507528,0.0032,871.98,"Lumbr_fest"
"III",16.7103863647542,3e-04,83.55,"Lumbr_fest"
"IV",1739.75605831238,0.0317,8698.78,"Lumbr_fest"
"Not.Applicable",146.311094266321,0.0027,731.56,"Lumbr_fest"
"Not.Assigned",939.21556402581,0.0171,4696.08,"Lumbr_fest"
"Not.Reported",7028.72786274779,0.1281,35143.64,"Lumbr_fest"
"Outside.PA",37895.4452400802,0.6908,189477.23,"Lumbr_fest"
"Presence",54860,1,274300,"Lumbr_fest"
"Protected",8850.30023887992,0.1613,44251.5,"Lumbr_fest"
"Unprotected",46009.6997611201,0.8387,230048.5,"Lumbr_fest"
"V",6819.30459487863,0.1243,34096.52,"Lumbr_fest"
"VI",77.8086934874736,0.0014,389.04,"Lumbr_fest"
"Ia",97.4946384742599,9e-04,487.47,"Lumbr_rube"
"Ib",20.4788038274285,2e-04,102.39,"Lumbr_rube"
"II",1039.99255496258,0.0097,5199.96,"Lumbr_rube"
"III",63.7856827622976,6e-04,318.93,"Lumbr_rube"
"IV",2934.7613718701,0.0273,14673.81,"Lumbr_rube"
"Not.Applicable",452.873326158922,0.0042,2264.37,"Lumbr_rube"
"Not.Assigned",1954.10809128754,0.0182,9770.54,"Lumbr_rube"
"Not.Reported",19358.6696020546,0.18,96793.35,"Lumbr_rube"
"Outside.PA",65464.3643185857,0.6086,327321.82,"Lumbr_rube"
"Presence",107566,1,537830,"Lumbr_rube"
"Protected",20335.9846619133,0.1891,101679.92,"Lumbr_rube"
"Unprotected",87230.0153380868,0.8109,436150.08,"Lumbr_rube"
"V",15850.3470291666,0.1474,79251.74,"Lumbr_rube"
"VI",329.124580849972,0.0031,1645.62,"Lumbr_rube"
"Ia",96.7525642663935,7e-04,483.76,"Lumbr_terr"
"Ib",19.9812370839002,1e-04,99.91,"Lumbr_terr"
"II",961.393746325454,0.0071,4806.97,"Lumbr_terr"
"III",72.1468920054222,5e-04,360.73,"Lumbr_terr"
"IV",2832.26369666896,0.021,14161.32,"Lumbr_terr"
"Not.Applicable",462.618719951182,0.0034,2313.09,"Lumbr_terr"
"Not.Assigned",2849.18317053394,0.0211,14245.92,"Lumbr_terr"
"Not.Reported",21591.9363420615,0.1598,107959.68,"Lumbr_terr"
"Outside.PA",89040.5367196662,0.6592,445202.68,"Lumbr_terr"
